Chapter,Section,Subsection,Subsubsection,In Syllabus,Chapter Filecase,Section Filecase,Subsection Filecase,Subsubsection Filecase,PTX Path,PTX Exists,Lesson Plan Path,Lesson Plan Exists,Step By Step Guide Path,Step By Step Guide Exists,PTX Exists,Lesson Plan Exists,Step By Step Exists
Numbers and Algebra,Indices and Logarithms,Logarithms,Finding Logarithms Using Tables and Calculators,Yes,numbers-and-algebra,indices-and-logarithms,logarithms,finding-logarithms-using-tables-and-calculators,numbers-and-algebra/indices-and-logarithms/subsubsec-finding-logarithms-using-tables-and-calculators.ptx,YES,numbers-and-algebra/indices-and-logarithms/finding-logarithms-using-tables-and-calculators.pdf,YES,numbers-and-algebra/indices-and-logarithms/step-by-step-guide_finding-logarithms-using-tables-and-calculators.pdf,YES,YES,YES,YES
Numbers and Algebra,Indices and Logarithms,Logarithms,Antilogarithms,Yes,numbers-and-algebra,indices-and-logarithms,logarithms,antilogarithms,numbers-and-algebra/indices-and-logarithms/subsubsec-antilogarithms.ptx,NO,numbers-and-algebra/indices-and-logarithms/antilogarithms.pdf,YES,numbers-and-algebra/indices-and-logarithms/step-by-step-guide_antilogarithms.pdf,YES,NO,YES,YES
Numbers and Algebra,Indices and Logarithms,Logarithms,Logarithms of Powers and Roots,Yes,numbers-and-algebra,indices-and-logarithms,logarithms,logarithms-of-powers-and-roots,numbers-and-algebra/indices-and-logarithms/subsubsec-logarithms-of-powers-and-roots.ptx,YES,numbers-and-algebra/indices-and-logarithms/logarithms-of-powers-and-roots.pdf,NO,numbers-and-algebra/indices-and-logarithms/step-by-step-guide_logarithms-of-powers-and-roots.pdf,NO,YES,NO,NO
Numbers and Algebra,Indices and Logarithms,Logarithms,Logarithms in Real-Life,Yes,numbers-and-algebra,indices-and-logarithms,logarithms,logarithms-in-real-life,numbers-and-algebra/indices-and-logarithms/subsubsec-logarithms-in-real-life.ptx,YES,numbers-and-algebra/indices-and-logarithms/logarithms-in-real-life.pdf,YES,numbers-and-algebra/indices-and-logarithms/step-by-step-guide_logarithms-in-real-life.pdf,YES,YES,YES,YES
Numbers and Algebra,Quadratic Expressions and Equations,Quadratic Expressions,Forming Quadratics by Multiplying,Yes,numbers-and-algebra,quadratic-expressions-and-equations,quadratic-expressions,forming-quadratics-by-multiplying,numbers-and-algebra/quadratic-expressions-and-equations/subsubsec-forming-quadratics-by-multiplying.ptx,YES,numbers-and-algebra/quadratic-expressions-and-equations/forming-quadratics-by-multiplying.pdf,YES,numbers-and-algebra/quadratic-expressions-and-equations/step-by-step-guide_forming-quadratics-by-multiplying.pdf,YES,YES,YES,YES
Numbers and Algebra,Quadratic Expressions and Equations,Quadratic Expressions,Forming Quadratics in Real-Life,Yes,numbers-and-algebra,quadratic-expressions-and-equations,quadratic-expressions,forming-quadratics-in-real-life,numbers-and-algebra/quadratic-expressions-and-equations/subsubsec-forming-quadratics-in-real-life.ptx,YES,numbers-and-algebra/quadratic-expressions-and-equations/forming-quadratics-in-real-life.pdf,NO,numbers-and-algebra/quadratic-expressions-and-equations/step-by-step-guide_forming-quadratics-in-real-life.pdf,NO,YES,NO,NO
Numbers and Algebra,Quadratic Expressions and Equations,Quadatic Identities,Perfect Squares,Yes,numbers-and-algebra,quadratic-expressions-and-equations,quadatic-identities,perfect-squares,numbers-and-algebra/quadratic-expressions-and-equations/subsubsec-perfect-squares.ptx,YES,numbers-and-algebra/quadratic-expressions-and-equations/perfect-squares.pdf,YES,numbers-and-algebra/quadratic-expressions-and-equations/step-by-step-guide_perfect-squares.pdf,YES,YES,YES,YES
Numbers and Algebra,Quadratic Expressions and Equations,Quadatic Identities,Difference of Squares,Yes,numbers-and-algebra,quadratic-expressions-and-equations,quadatic-identities,difference-of-squares,numbers-and-algebra/quadratic-expressions-and-equations/subsubsec-difference-of-squares.ptx,YES,numbers-and-algebra/quadratic-expressions-and-equations/difference-of-squares.pdf,NO,numbers-and-algebra/quadratic-expressions-and-equations/step-by-step-guide_difference-of-squares.pdf,NO,YES,NO,NO
Numbers and Algebra,Quadratic Expressions and Equations,Quadatic Identities,Quadratic Identities in Numerical Cases,Yes,numbers-and-algebra,quadratic-expressions-and-equations,quadatic-identities,quadratic-identities-in-numerical-cases,numbers-and-algebra/quadratic-expressions-and-equations/subsubsec-quadratic-identities-in-numerical-cases.ptx,YES,numbers-and-algebra/quadratic-expressions-and-equations/quadratic-identities-in-numerical-cases.pdf,YES,numbers-and-algebra/quadratic-expressions-and-equations/step-by-step-guide_quadratic-identities-in-numerical-cases.pdf,YES,YES,YES,YES
Numbers and Algebra,Quadratic Expressions and Equations,Factorising Quadratics,Factorising Monic Quadratics,Yes,numbers-and-algebra,quadratic-expressions-and-equations,factorising-quadratics,factorising-monic-quadratics,numbers-and-algebra/quadratic-expressions-and-equations/subsubsec-factorising-monic-quadratics.ptx,YES,numbers-and-algebra/quadratic-expressions-and-equations/factorising-monic-quadratics.pdf,YES,numbers-and-algebra/quadratic-expressions-and-equations/step-by-step-guide_factorising-monic-quadratics.pdf,NO,YES,YES,NO
Numbers and Algebra,Quadratic Expressions and Equations,Factorising Quadratics,Factorising Non-Monic Quadratics,Yes,numbers-and-algebra,quadratic-expressions-and-equations,factorising-quadratics,factorising-non-monic-quadratics,numbers-and-algebra/quadratic-expressions-and-equations/subsubsec-factorising-non-monic-quadratics.ptx,YES,numbers-and-algebra/quadratic-expressions-and-equations/factorising-non-monic-quadratics.pdf,YES,numbers-and-algebra/quadratic-expressions-and-equations/step-by-step-guide_factorising-non-monic-quadratics.pdf,NO,YES,YES,NO
Numbers and Algebra,Quadratic Expressions and Equations,Quadratic Equations,Formation of Quadratic Equations,Yes,numbers-and-algebra,quadratic-expressions-and-equations,quadratic-equations,formation-of-quadratic-equations,numbers-and-algebra/quadratic-expressions-and-equations/subsubsec-formation-of-quadratic-equations.ptx,YES,numbers-and-algebra/quadratic-expressions-and-equations/formation-of-quadratic-equations.pdf,NO,numbers-and-algebra/quadratic-expressions-and-equations/step-by-step-guide_formation-of-quadratic-equations.pdf,NO,YES,NO,NO
Numbers and Algebra,Quadratic Expressions and Equations,Quadratic Equations,Solving Quadratic Equations,Yes,numbers-and-algebra,quadratic-expressions-and-equations,quadratic-equations,solving-quadratic-equations,numbers-and-algebra/quadratic-expressions-and-equations/subsubsec-solving-quadratic-equations.ptx,YES,numbers-and-algebra/quadratic-expressions-and-equations/solving-quadratic-equations.pdf,NO,numbers-and-algebra/quadratic-expressions-and-equations/step-by-step-guide_solving-quadratic-equations.pdf,YES,YES,NO,YES
Numbers and Algebra,Quadratic Expressions and Equations,Quadratic Equations,Quadratic Equations in Real-Life,Yes,numbers-and-algebra,quadratic-expressions-and-equations,quadratic-equations,quadratic-equations-in-real-life,numbers-and-algebra/quadratic-expressions-and-equations/subsubsec-quadratic-equations-in-real-life.ptx,YES,numbers-and-algebra/quadratic-expressions-and-equations/quadratic-equations-in-real-life.pdf,YES,numbers-and-algebra/quadratic-expressions-and-equations/step-by-step-guide_quadratic-equations-in-real-life.pdf,YES,YES,YES,YES
Measurements and Geometry,Similarity and Enlargement,Introduction to Similarity,,Yes,measurements-and-geometry,similarity-and-enlargement,introduction-to-similarity,,measurements-and-geometry/similarity-and-enlargement/subsec-introduction-to-similarity.ptx,YES,measurements-and-geometry/similarity-and-enlargement/introduction-to-similarity.pdf,YES,measurements-and-geometry/similarity-and-enlargement/step-by-step-guide_introduction-to-similarity.pdf,YES,YES,YES,YES
Measurements and Geometry,Similarity and Enlargement,Enlargements of Objects,Positive Enlargements ,Yes,measurements-and-geometry,similarity-and-enlargement,enlargements-of-objects,positive-enlargements,measurements-and-geometry/similarity-and-enlargement/subsubsec-positive-enlargements.ptx,YES,measurements-and-geometry/similarity-and-enlargement/positive-enlargements.pdf,YES,measurements-and-geometry/similarity-and-enlargement/step-by-step-guide_positive-enlargements.pdf,YES,YES,YES,YES
Measurements and Geometry,Similarity and Enlargement,Enlargements of Objects,Negative Enlargements,Yes,measurements-and-geometry,similarity-and-enlargement,enlargements-of-objects,negative-enlargements,measurements-and-geometry/similarity-and-enlargement/subsubsec-negative-enlargements.ptx,YES,measurements-and-geometry/similarity-and-enlargement/negative-enlargements.pdf,YES,measurements-and-geometry/similarity-and-enlargement/step-by-step-guide_negative-enlargements.pdf,YES,YES,YES,YES
Measurements and Geometry,Similarity and Enlargement,Scale Factors,Area Scale Factors,Yes,measurements-and-geometry,similarity-and-enlargement,scale-factors,area-scale-factors,measurements-and-geometry/similarity-and-enlargement/subsubsec-area-scale-factors.ptx,YES,measurements-and-geometry/similarity-and-enlargement/area-scale-factors.pdf,YES,measurements-and-geometry/similarity-and-enlargement/step-by-step-guide_area-scale-factors.pdf,YES,YES,YES,YES
Measurements and Geometry,Similarity and Enlargement,Scale Factors,Volume Scale Factors,Yes,measurements-and-geometry,similarity-and-enlargement,scale-factors,volume-scale-factors,measurements-and-geometry/similarity-and-enlargement/subsubsec-volume-scale-factors.ptx,YES,measurements-and-geometry/similarity-and-enlargement/volume-scale-factors.pdf,YES,measurements-and-geometry/similarity-and-enlargement/step-by-step-guide_volume-scale-factors.pdf,YES,YES,YES,YES
Measurements and Geometry,Similarity and Enlargement,Similarity and Enlargement in Real-Life,,Yes,measurements-and-geometry,similarity-and-enlargement,similarity-and-enlargement-in-real-life,,measurements-and-geometry/similarity-and-enlargement/subsec-similarity-and-enlargement-in-real-life.ptx,YES,measurements-and-geometry/similarity-and-enlargement/similarity-and-enlargement-in-real-life.pdf,YES,measurements-and-geometry/similarity-and-enlargement/step-by-step-guide_similarity-and-enlargement-in-real-life.pdf,YES,YES,YES,YES
Measurements and Geometry,Reflection and Congruence,Properties of Symmetry and Reflection,,Yes,measurements-and-geometry,reflection-and-congruence,properties-of-symmetry-and-reflection,,measurements-and-geometry/reflection-and-congruence/subsec-properties-of-symmetry-and-reflection.ptx,YES,measurements-and-geometry/reflection-and-congruence/properties-of-symmetry-and-reflection.pdf,YES,measurements-and-geometry/reflection-and-congruence/step-by-step-guide_properties-of-symmetry-and-reflection.pdf,YES,YES,YES,YES
Measurements and Geometry,Reflection and Congruence,Reflecting Objects,,Yes,measurements-and-geometry,reflection-and-congruence,reflecting-objects,,measurements-and-geometry/reflection-and-congruence/subsec-reflecting-objects.ptx,YES,measurements-and-geometry/reflection-and-congruence/reflecting-objects.pdf,YES,measurements-and-geometry/reflection-and-congruence/step-by-step-guide_reflecting-objects.pdf,YES,YES,YES,YES
Measurements and Geometry,Reflection and Congruence,Equations of Mirror Lines,,Yes,measurements-and-geometry,reflection-and-congruence,equations-of-mirror-lines,,measurements-and-geometry/reflection-and-congruence/subsec-equations-of-mirror-lines.ptx,YES,measurements-and-geometry/reflection-and-congruence/equations-of-mirror-lines.pdf,YES,measurements-and-geometry/reflection-and-congruence/step-by-step-guide_equations-of-mirror-lines.pdf,YES,YES,YES,YES
Measurements and Geometry,Reflection and Congruence,Congruence in Triangles,,Yes,measurements-and-geometry,reflection-and-congruence,congruence-in-triangles,,measurements-and-geometry/reflection-and-congruence/subsec-congruence-in-triangles.ptx,YES,measurements-and-geometry/reflection-and-congruence/congruence-in-triangles.pdf,YES,measurements-and-geometry/reflection-and-congruence/step-by-step-guide_congruence-in-triangles.pdf,YES,YES,YES,YES
Measurements and Geometry,Reflection and Congruence,Reflection and Congruence in Real-Life,,Yes,measurements-and-geometry,reflection-and-congruence,reflection-and-congruence-in-real-life,,measurements-and-geometry/reflection-and-congruence/subsec-reflection-and-congruence-in-real-life.ptx,YES,measurements-and-geometry/reflection-and-congruence/reflection-and-congruence-in-real-life.pdf,YES,measurements-and-geometry/reflection-and-congruence/step-by-step-guide_reflection-and-congruence-in-real-life.pdf,YES,YES,YES,YES
Measurements and Geometry,Rotation,Properties of Rotation,,Yes,measurements-and-geometry,rotation,properties-of-rotation,,measurements-and-geometry/rotation/subsec-properties-of-rotation.ptx,YES,measurements-and-geometry/rotation/properties-of-rotation.pdf,NO,measurements-and-geometry/rotation/step-by-step-guide_properties-of-rotation.pdf,NO,YES,NO,NO
Measurements and Geometry,Rotation,Rotating Objects,,Yes,measurements-and-geometry,rotation,rotating-objects,,measurements-and-geometry/rotation/subsec-rotating-objects.ptx,YES,measurements-and-geometry/rotation/rotating-objects.pdf,NO,measurements-and-geometry/rotation/step-by-step-guide_rotating-objects.pdf,NO,YES,NO,NO
Measurements and Geometry,Rotation,Rotational Symmetry,Rotational Symmetry of Plane Figures,Yes,measurements-and-geometry,rotation,rotational-symmetry,rotational-symmetry-of-plane-figures,measurements-and-geometry/rotation/subsubsec-rotational-symmetry-of-plane-figures.ptx,YES,measurements-and-geometry/rotation/rotational-symmetry-of-plane-figures.pdf,NO,measurements-and-geometry/rotation/step-by-step-guide_rotational-symmetry-of-plane-figures.pdf,NO,YES,NO,NO
Measurements and Geometry,Rotation,Rotational Symmetry,Rotational Symmetry of Solids,Yes,measurements-and-geometry,rotation,rotational-symmetry,rotational-symmetry-of-solids,measurements-and-geometry/rotation/subsubsec-rotational-symmetry-of-solids.ptx,YES,measurements-and-geometry/rotation/rotational-symmetry-of-solids.pdf,NO,measurements-and-geometry/rotation/step-by-step-guide_rotational-symmetry-of-solids.pdf,NO,YES,NO,NO
Measurements and Geometry,Rotation,Rotation and Congruence,,Yes,measurements-and-geometry,rotation,rotation-and-congruence,,measurements-and-geometry/rotation/subsec-rotation-and-congruence.ptx,YES,measurements-and-geometry/rotation/rotation-and-congruence.pdf,NO,measurements-and-geometry/rotation/step-by-step-guide_rotation-and-congruence.pdf,NO,YES,NO,NO
Measurements and Geometry,Rotation,Rotation in Real-Life,,Yes,measurements-and-geometry,rotation,rotation-in-real-life,,measurements-and-geometry/rotation/subsec-rotation-in-real-life.ptx,YES,measurements-and-geometry/rotation/rotation-in-real-life.pdf,NO,measurements-and-geometry/rotation/step-by-step-guide_rotation-in-real-life.pdf,NO,YES,NO,NO
Measurements and Geometry,Trigonometry 1,Sines and Cosines of Acute Angles,,Yes,measurements-and-geometry,trigonometry-1,sines-and-cosines-of-acute-angles,,measurements-and-geometry/trigonometry-1/subsec-sines-and-cosines-of-acute-angles.ptx,YES,measurements-and-geometry/trigonometry-1/sines-and-cosines-of-acute-angles.pdf,NO,measurements-and-geometry/trigonometry-1/step-by-step-guide_sines-and-cosines-of-acute-angles.pdf,NO,YES,NO,NO
Measurements and Geometry,Trigonometry 1,Tangents of Acute Angles,,Yes,measurements-and-geometry,trigonometry-1,tangents-of-acute-angles,,measurements-and-geometry/trigonometry-1/subsec-tangents-of-acute-angles.ptx,YES,measurements-and-geometry/trigonometry-1/tangents-of-acute-angles.pdf,NO,measurements-and-geometry/trigonometry-1/step-by-step-guide_tangents-of-acute-angles.pdf,NO,YES,NO,NO
Measurements and Geometry,Trigonometry 1,Sines and Cosines of Complementary Angles,,Yes,measurements-and-geometry,trigonometry-1,sines-and-cosines-of-complementary-angles,,measurements-and-geometry/trigonometry-1/subsec-sines-and-cosines-of-complementary-angles.ptx,NO,measurements-and-geometry/trigonometry-1/sines-and-cosines-of-complementary-angles.pdf,NO,measurements-and-geometry/trigonometry-1/step-by-step-guide_sines-and-cosines-of-complementary-angles.pdf,NO,NO,NO,NO
Measurements and Geometry,Trigonometry 1,Trigonometric Ratios of Special Angles,Special Angles: 30 and 60 Degrees,Yes,measurements-and-geometry,trigonometry-1,trigonometric-ratios-of-special-angles,special-angles-30-and-60-degrees,measurements-and-geometry/trigonometry-1/subsubsec-special-angles-30-and-60-degrees.ptx,YES,measurements-and-geometry/trigonometry-1/special-angles-30-and-60-degrees.pdf,NO,measurements-and-geometry/trigonometry-1/step-by-step-guide_special-angles-30-and-60-degrees.pdf,NO,YES,NO,NO
Measurements and Geometry,Trigonometry 1,Trigonometric Ratios of Special Angles,"Special Angles: 0, 45, and 90 Degrees",Yes,measurements-and-geometry,trigonometry-1,trigonometric-ratios-of-special-angles,special-angles-0-45-and-90-degrees,measurements-and-geometry/trigonometry-1/subsubsec-special-angles-0-45-and-90-degrees.ptx,NO,measurements-and-geometry/trigonometry-1/special-angles-0-45-and-90-degrees.pdf,NO,measurements-and-geometry/trigonometry-1/step-by-step-guide_special-angles-0-45-and-90-degrees.pdf,NO,NO,NO,NO
Measurements and Geometry,Trigonometry 1,Trigonometry Using Tables and Calculators,,Yes,measurements-and-geometry,trigonometry-1,trigonometry-using-tables-and-calculators,,measurements-and-geometry/trigonometry-1/subsec-trigonometry-using-tables-and-calculators.ptx,YES,measurements-and-geometry/trigonometry-1/trigonometry-using-tables-and-calculators.pdf,NO,measurements-and-geometry/trigonometry-1/step-by-step-guide_trigonometry-using-tables-and-calculators.pdf,NO,YES,NO,NO
Measurements and Geometry,Trigonometry 1,Angles of Elevation and Depression,Angles of Elevation,Yes,measurements-and-geometry,trigonometry-1,angles-of-elevation-and-depression,angles-of-elevation,measurements-and-geometry/trigonometry-1/subsubsec-angles-of-elevation.ptx,YES,measurements-and-geometry/trigonometry-1/angles-of-elevation.pdf,NO,measurements-and-geometry/trigonometry-1/step-by-step-guide_angles-of-elevation.pdf,NO,YES,NO,NO
Measurements and Geometry,Trigonometry 1,Angles of Elevation and Depression,Angles of Depression,Yes,measurements-and-geometry,trigonometry-1,angles-of-elevation-and-depression,angles-of-depression,measurements-and-geometry/trigonometry-1/subsubsec-angles-of-depression.ptx,YES,measurements-and-geometry/trigonometry-1/angles-of-depression.pdf,NO,measurements-and-geometry/trigonometry-1/step-by-step-guide_angles-of-depression.pdf,NO,YES,NO,NO
Measurements and Geometry,Trigonometry 1,Trigonometry in Real-Life,,Yes,measurements-and-geometry,trigonometry-1,trigonometry-in-real-life,,measurements-and-geometry/trigonometry-1/subsec-trigonometry-in-real-life.ptx,YES,measurements-and-geometry/trigonometry-1/trigonometry-in-real-life.pdf,NO,measurements-and-geometry/trigonometry-1/step-by-step-guide_trigonometry-in-real-life.pdf,NO,YES,NO,NO
Measurements and Geometry,Area of Polygons,Area of Triangles,Using Two Sides and an Angle,Yes,measurements-and-geometry,area-of-polygons,area-of-triangles,using-two-sides-and-an-angle,measurements-and-geometry/area-of-polygons/subsubsec-using-two-sides-and-an-angle.ptx,YES,measurements-and-geometry/area-of-polygons/using-two-sides-and-an-angle.pdf,NO,measurements-and-geometry/area-of-polygons/step-by-step-guide_using-two-sides-and-an-angle.pdf,NO,YES,NO,NO
Measurements and Geometry,Area of Polygons,Area of Triangles,Heron's Formula,Yes,measurements-and-geometry,area-of-polygons,area-of-triangles,herons-formula,measurements-and-geometry/area-of-polygons/subsubsec-herons-formula.ptx,YES,measurements-and-geometry/area-of-polygons/herons-formula.pdf,NO,measurements-and-geometry/area-of-polygons/step-by-step-guide_herons-formula.pdf,NO,YES,NO,NO
Measurements and Geometry,Area of Polygons,Area of Quadrilaterals,Area of Squares and Rectangles,Yes,measurements-and-geometry,area-of-polygons,area-of-quadrilaterals,area-of-squares-and-rectangles,measurements-and-geometry/area-of-polygons/subsubsec-area-of-squares-and-rectangles.ptx,YES,measurements-and-geometry/area-of-polygons/area-of-squares-and-rectangles.pdf,NO,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-squares-and-rectangles.pdf,NO,YES,NO,NO
Measurements and Geometry,Area of Polygons,Area of Quadrilaterals,Area of Parallelograms,Yes,measurements-and-geometry,area-of-polygons,area-of-quadrilaterals,area-of-parallelograms,measurements-and-geometry/area-of-polygons/subsubsec-area-of-parallelograms.ptx,YES,measurements-and-geometry/area-of-polygons/area-of-parallelograms.pdf,NO,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-parallelograms.pdf,NO,YES,NO,NO
Measurements and Geometry,Area of Polygons,Area of Quadrilaterals,Area of Rhombuses,Yes,measurements-and-geometry,area-of-polygons,area-of-quadrilaterals,area-of-rhombuses,measurements-and-geometry/area-of-polygons/subsubsec-area-of-rhombuses.ptx,YES,measurements-and-geometry/area-of-polygons/area-of-rhombuses.pdf,NO,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-rhombuses.pdf,NO,YES,NO,NO
Measurements and Geometry,Area of Polygons,Area of Quadrilaterals,Area of Trapeziums,Yes,measurements-and-geometry,area-of-polygons,area-of-quadrilaterals,area-of-trapeziums,measurements-and-geometry/area-of-polygons/subsubsec-area-of-trapeziums.ptx,YES,measurements-and-geometry/area-of-polygons/area-of-trapeziums.pdf,NO,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-trapeziums.pdf,NO,YES,NO,NO
Measurements and Geometry,Area of Polygons,Area of Quadrilaterals,Area of Kites,Yes,measurements-and-geometry,area-of-polygons,area-of-quadrilaterals,area-of-kites,measurements-and-geometry/area-of-polygons/subsubsec-area-of-kites.ptx,YES,measurements-and-geometry/area-of-polygons/area-of-kites.pdf,NO,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-kites.pdf,NO,YES,NO,NO
Measurements and Geometry,Area of Polygons,Area of Regular Polygons,Area of Heptagons,Yes,measurements-and-geometry,area-of-polygons,area-of-regular-polygons,area-of-heptagons,measurements-and-geometry/area-of-polygons/subsubsec-area-of-heptagons.ptx,YES,measurements-and-geometry/area-of-polygons/area-of-heptagons.pdf,NO,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-heptagons.pdf,NO,YES,NO,NO
Measurements and Geometry,Area of Polygons,Area of Regular Polygons,Area of Octogons,Yes,measurements-and-geometry,area-of-polygons,area-of-regular-polygons,area-of-octogons,measurements-and-geometry/area-of-polygons/subsubsec-area-of-octogons.ptx,NO,measurements-and-geometry/area-of-polygons/area-of-octogons.pdf,NO,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-octogons.pdf,NO,NO,NO,NO
Measurements and Geometry,Area of Polygons,Area of Regular Polygons,Area of Nonagons,Extension,measurements-and-geometry,area-of-polygons,area-of-regular-polygons,area-of-nonagons,measurements-and-geometry/area-of-polygons/subsubsec-area-of-nonagons.ptx,NO,measurements-and-geometry/area-of-polygons/area-of-nonagons.pdf,EXTENSION,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-nonagons.pdf,EXTENSION,NO,EXTENSION,EXTENSION
